sex,age,edu,character,social,interest,METHOD
2,1,1,1,3,3,1
2,2,1,1,2,2,4
2,4,1,1,2,3,4
2,1,1,2,1,1,1
2,4,1,2,3,1,3
2,4,1,2,3,3,3
2,4,1,2,2,3,3
2,4,1,2,2,1,3
2,2,1,2,1,1,4
1,3,1,3,1,2,1
1,3,1,3,1,3,1
1,3,4,3,2,3,3
1,3,1,3,1,3,4
1,4,1,4,3,2,1
2,2,1,4,2,2,4
1,3,1,4,2,3,4
1,2,2,5,1,3,1
1,4,1,5,1,2,3
2,3,1,5,1,2,4
2,2,1,6,2,3,1
2,1,1,6,1,1,1
2,2,1,6,2,3,1
2,1,1,6,2,2,1
1,3,1,6,2,2,1
2,4,1,6,2,1,3
2,4,1,6,2,3,3
2,4,1,6,2,1,3
2,4,1,6,2,3,4
1,1,1,6,2,2,4
2,1,1,7,2,2,1
1,2,1,7,2,3,4
2,4,1,7,2,1,4
1,4,1,8,2,3,4
1,1,1,8,1,3,1
2,4,1,9,2,2,4
1,2,1,9,2,3,1
1,3,1,9,3,3,1
2,5,1,9,3,2,3
2,4,1,9,3,3,3
2,4,1,9,3,2,3
2,2,1,9,2,3,4
2,3,1,9,1,1,4
